,PM,69
5/18/23,PM,60
5/18/23,PM,69
5/18/23,PM,67
5/18/23,PM,66
5/18/23,PM,77
5/18/23,PM,70
5/18/23,PM,58
5/18/23,PM,68
5/18/23,PM,71
5/18/23,PM,68
5/19/23,AM,65
5/19/23,AM,64
5/19/23,AM,76
5/19/23,AM,69
5/19/23,AM,56
5/19/23,AM,66
5/19/23,AM,71
5/19/23,AM,67
5/19/23,AM,59
5/19/23,AM,73
5/19/23,AM,83
5/19/23,AM,77
5/19/23,AM,65
5/20/23,PM,63
5/20/23,PM,70
5/20/23,PM,65
5/20/23,PM,65
5/20/23,PM,74
5/20/23,PM,77
5/20/23,PM,72
5/20/23,PM,66
5/20/23,PM,63
5/20/23,PM,64
5/20/23,PM,70
5/20/23,PM,72
5/20/23,PM,73
5/21/23,PM,70
5/21/23,PM,68
5/21/23,PM,73
5/21/23,PM,66
5/21/23,PM,68
5/21/23,PM,75
5/21/23,PM,59
5/22/23,PM,72
5/22/23,PM,67
5/22/23,PM,63
5/22/23,PM,64
5/22/23,PM,74
5/22/23,PM,61
5/22/23,PM,62
5/22/23,PM,70
5/22/23,PM,69
5/22/23,PM,60
5/22/23,PM,75
5/22/23,PM,63
5/23/23,PM,69
5/23/23,PM,63
5/23/23,PM,71
5/23/23,PM,62
5/23/23,PM,79
5/23/23,PM,76
5/23/23,PM,81
5/23/23,PM,73
5/23/23,PM,61
5/23/23,PM,71
5/24/23,PM,69
5/24/23,PM,80
5/24/23,PM,77
5/24/23,PM,58
5/24/23,PM,70
5/24/23,PM,77
5/24/23,PM,67
5/24/23,PM,71
5/24/23,PM,68
5/24/23,PM,69
5/25/23,PM,60
5/25/23,PM,65
5/25/23,PM,68
5/25/23,PM,67
5/25/23,PM,80
5/25/23,PM,71
5/25/23,PM,72
5/25/23,PM,62
5/25/23,PM,71
5/25/23,PM,70
5/25/23,PM,66
5/27/23,PM,77
5/27/23,PM,85
5/27/23,PM,65
5/27/23,PM,69
5/27/23,PM,69
5/27/23,PM,67
5/27/23,PM,76
5/27/23,PM,70
5/27/23,PM,72
5/27/23,PM,61
5/27/23,PM,73
5/29/23,PM,71
5/29/23,PM,81
5/29/23,PM,66
5/29/23,PM,65
